,Date,open,high,low,close,V,Hour
2498,2019-01-02 13:20:00,31550,31563,31550,31563,67,13
2499,2019-01-02 13:25:00,31563,31574,31561,31564,70,13
2500,2019-01-02 13:30:00,31564,31585,31562,31585,121,13
2501,2019-01-02 13:35:00,31585,31600,31583,31599,148,13
2502,2019-01-02 13:40:00,31599,31609,31590,31602,121,13
2503,2019-01-02 13:45:00,31602,31605,31590,31592,59,13
2504,2019-01-02 13:50:00,31592,31599,31584,31595,61,13
2505,2019-01-02 13:55:00,31595,31599,31585,31590,55,13
2506,2019-01-02 14:00:00,31590,31599,31582,31586,63,14
2507,2019-01-02 14:05:00,31586,31596,31581,31592,83,14
2508,2019-01-02 14:10:00,31592,31657,31590,31641,294,14
2509,2019-01-02 14:15:00,31641,31651,31634,31634,86,14
2510,2019-01-02 14:20:00,31634,31647,31634,31643,33,14
2511,2019-01-02 14:25:00,31643,31649,31630,31633,53,14
2512,2019-01-02 14:30:00,31633,31636,31625,31625,38,14
2513,2019-01-02 14:35:00,31625,31630,31624,31628,30,14
2514,2019-01-02 14:40:00,31628,31641,31624,31639,85,14
2515,2019-01-02 14:45:00,31639,31648,31636,31643,43,14
2516,2019-01-02 14:50:00,31643,31649,31631,31632,38,14
2517,2019-01-02 14:55:00,31632,31649,31632,31642,42,14
